OPPORUNITY_ID,OPPORTUNITY_NAME,CREATED_AT,CLOSE_DATE,REVENUE_DOLLARS,SALES_REP_ID,SALES_REP_NAME,INDUSTRY_ID,INDUSTRY,MARKET_SEGMENT_ID,MARKET_SEGMENT,IS_WON,IS_CLOSED
0025a799-02ce-4f3c-af31-db53c400bb29,,2023-09-23T20:29:13Z,2023-09-30,1073,14,Anna Becker,9,Business Services,2,Mid-Market,FALSE,TRUE
fd851f2b-0c21-4fbc-afed-46b29d438b92,,2023-09-16T18:07:39Z,2023-11-01,1429,14,Anna Becker,8,"Trade, Transportation, and Utilities",2,Mid-Market,FALSE,FALSE
64177695-95a3-42ed-99de-24d02695e37b,,2023-09-21T15:41:12Z,2023-12-05,487,6,Kathryn Dickerson,9,Business Services,1,SMB,FALSE,FALSE
f2905bca-5e22-4eaf-a414-e8ad5fb505cb,,2022-12-11T15:30:04Z,2023-02-13,452,6,Kathryn Dickerson,9,Business Services,1,SMB,TRUE,TRUE
1d9da2dd-92ee-4870-a90b-6d64272592a0,,2023-01-20T14:35:12Z,2023-05-16,500,6,Kathryn Dickerson,1,Public Sector,1,SMB,FALSE,TRUE
3ad845d9-519e-4404-b4ae-ffe3825555db,,2023-08-08T13:22:44Z,2023-12-01,207,6,Kathryn Dickerson,8,"Trade, Transportation, and Utilities",1,SMB,FALSE,FALSE
461d6c8d-7d38-4ec0-ae6b-45ea895e4133,,2023-02-02T17:12:46Z,2023-05-12,118,6,Kathryn Dickerson,8,"Trade, Transportation, and Utilities",1,SMB,FALSE,TRUE
4a1ad191-ae46-4dfc-8767-8ab7a2491444,,2023-09-10T20:37:25Z,2023-12-05,128,6,Kathryn Dickerson,2,Retail,1,SMB,FALSE,FALSE
d81daf3a-0080-41df-ba00-931adf047c30,,2023-09-14T16:03:10Z,2024-02-02,645,6,Kathryn Dickerson,8,"Trade, Transportation, and Utilities",1,SMB,FALSE,FALSE
d7da8f07-b1f5-43cd-a74f-3e15e013b848,,2023-07-18T18:46:03Z,2023-12-05,1811,6,Kathryn Dickerson,9,Business Services,1,SMB,FALSE,FALSE
f01018d7-6add-4f41-bd59-68bd8b10de77,,2022-12-18T22:01:26Z,2023-03-23,400,6,Kathryn Dickerson,2,Retail,1,SMB,FALSE,TRUE
4165fae1-10cb-47b6-b4f0-6b0b6a509bc3,,2023-05-06T21:23:35Z,2023-06-24,299,6,Kathryn Dickerson,9,Business Services,1,SMB,TRUE,TRUE
b017dc8f-e55f-4ae7-a423-c7096f66be3b,,2022-11-11T16:31:50Z,2023-01-02,358,6,Kathryn Dickerson,1,Public Sector,1,SMB,TRUE,TRUE
c4c47dcf-4da7-4e72-a9f6-f0ad1a42275c,,2023-05-10T15:43:08Z,2023-08-01,260,6,Kathryn Dickerson,2,Retail,1,SMB,FALSE,TRUE
cae1c796-a8a8-4821-8b94-3370c44c3305,,2022-12-12T22:02:25Z,2023-08-22,683,6,Kathryn Dickerson,9,Business Services,1,SMB,FALSE,TRUE
acefe177-3e47-4178-8707-939d9fe61252,,2023-02-25T20:38:45Z,2023-08-21,838,6,Kathryn Dickerson,7,Construction,1,SMB,FALSE,TRUE
3f85b999-4d6e-482b-9eb5-74c3768b057c,,2023-09-04T19:28:01Z,2023-12-02,235,6,Kathryn Dickerson,11,Rental,1,SMB,FALSE,FALSE
51c8709c-7b5d-488f-95e3-bad1496e9569,,2023-07-12T14:21:03Z,2023-08-08,635,6,Kathryn Dickerson,7,Construction,1,SMB,TRUE,TRUE
3144920d-d0ee-415f-add3-7d23e8016b0b,,2022-08-15T14:23:39Z,2022-11-02,175,6,Kathryn Dickerson,9,Business Services,1,SMB,FALSE,TRUE
d91e6410-cbd9-4e25-84c5-4e0396dc3a69,,2023-01-21T23:59:12Z,2023-01-25,169,6,Kathryn Dickerson,9,Business Services,1,SMB,TRUE,TRUE
990bd210-d27e-4646-b9a5-260b34c64f05,,2023-04-30T18:30:39Z,2023-10-03,293,6,Kathryn Dickerson,7,Construction,1,SMB,FALSE,TRUE
53fa27a0-f7ff-4413-8001-2a5704771b1d,,2023-07-12T21:22:02Z,2023-08-31,200,6,Kathryn Dickerson,8,"Trade, Transportation, and Utilities",1,SMB,FALSE,TRUE
fec75b0d-41b2-4887-9d8f-d4385bdf1304,,2023-01-11T21:44:53Z,2023-01-12,640,6,Kathryn Dickerson,5,Leisure and Hospitality,1,SMB,TRUE,TRUE
1e6c64df-83c2-44ed-99ce-bc0f1b9d9115,,2023-09-20T22:06:15Z,2024-01-03,239,6,Kathryn Dickerson,8,"Trade, Transportation, and Utilities",1,SMB,FALSE,FALSE
18af716a-b8f7-47b5-8a89-9e56d5e88c04,,2023-06-24T19:23:02Z,2023-06-27,231,6,Kathryn Dickerson,9,Business Services,1,SMB,TRUE,TRUE
9a75c58e-95d2-4b45-870c-05ba449958b4,,2023-03-18T18:07:58Z,2023-04-19,75,6,Kathryn Dickerson,1,Public Sector,1,SMB,FALSE,TRUE
f7ec0fbc-887e-4b64-9020-196a6b2946ad,,2023-08-12T19:04:56Z,2023-10-01,146,6,Kathryn Dickerson,9,Business Services,1,SMB,FALSE,FALSE
75b3b57b-f2e8-4d59-b035-b510a4efb60b,,2022-05-05T21:53:30Z,2022-06-11,243,6,Kathryn Dickerson,9,Business Services,1,SMB,FALSE,TRUE
4ecaeae6-6467-48e9-969e-3ae5608940f2,,2023-08-11T14:55:42Z,2023-11-04,218,6,Kathryn Dickerson,3,Non Profit,1,SMB,FALSE,FALSE
b0554493-c6c2-4d34-8eae-4342fee49aa8,,2022-10-09T14:15:06Z,2022-10-21,445,6,Kathryn Dickerson,4,Other,1,SMB,TRUE,TRUE
3a063f42-e1f6-4bd3-933d-d1e535b5234c,,2022-11-09T22:26:40Z,2023-03-26,10,6,Kathryn Dickerson,8,"Trade, Transportation, and Utilities",1,SMB,FALSE,TRUE
01e5ee15-4a7c-43c6-983e-b7c954601310,,2022-06-22T15:50:42Z,2022-09-09,1105,20,Timothy Moore,9,Business Services,2,Mid-Market,FALSE,TRUE
bd1324c3-9dc2-4dcf-b386-bebe6005f46f,,2023-09-24T14:26:55Z,2023-09-30,1107,17,Monica Obrien,1,Public Sector,1,SMB,TRUE,TRUE
14744e7b-b687-4c2f-bdd8-9419a1f29a5b,,2022-11-05T15:28:05Z,2022-12-04,2455,4,Anna Murray,9,Business Services,2,Mid-Market,TRUE,TRUE
ea9a7125-e14c-4bf7-8c91-96f6c7fa8954,,2022-04-15T23:08:16Z,2022-08-18,757,8,Ashley Jimenez,7,Construction,1,SMB,FALSE,TRUE
936fc611-29fc-40d5-90c9-31e6657cb216,,2022-02-20T22:30:38Z,2022-06-14,645,23,Wayne Terrell,7,Construction,1,SMB,FALSE,TRUE
a4c074e0-583a-4921-ab0d-3d14fdaa28d5,,2022-01-26T20:33:56Z,2022-03-26,587,23,Wayne Terrell,9,Business Services,1,SMB,FALSE,TRUE
213cb0d7-cc71-4224-8b01-784b74015058,,2022-02-12T21:06:57Z,2022-04-13,522,2,Robert Haynes,12,Education,1,SMB,FALSE,TRUE
3f6cab08-675e-4219-9493-e136fbaf549e,,2022-02-12T16:30:55Z,2022-07-31,2195,19,Erica Hill,8,"Trade, Transportation, and Utilities",2,Mid-Market,FALSE,TRUE
69dad651-0548-4ddd-9d65-c4294b8a3ba3,,2022-01-29T21:08:10Z,2022-06-11,3464,25,Judith Jenkins,7,Construction,3,Enterprise,FALSE,TRUE
d2991a55-2047-4d27-acda-7a4abe7d125d,,2022-03-23T21:22:38Z,2022-05-21,7784,25,Judith Jenkins,7,Construction,3,Enterprise,FALSE,TRUE
ae1eb5ea-184e-421e-af7d-b43df01847b5,,2022-03-08T17:39:38Z,2022-05-15,19,25,Judith Jenkins,13,Natural Resources and Mining,3,Enterprise,FALSE,TRUE
4d751a6b-2442-4c24-80c8-90146a849c59,,2022-03-04T17:40:20Z,2022-07-03,1022,20,Timothy Moore,9,Business Services,2,Mid-Market,FALSE,TRUE
53303c70-4ef1-4dd9-8328-921ebf48e4cd,,2022-03-13T22:02:27Z,2022-10-13,10566,20,Timothy Moore,9,Business Services,2,Mid-Market,TRUE,TRUE
1c6b628f-3a5d-44a8-822e-f0db2290b2d1,,2022-05-14T18:20:17Z,2022-10-12,1508,21,Kristin Shah,9,Business Services,2,Mid-Market,FALSE,TRUE
485bf9e3-0612-42e6-89d8-70d67280dc65,,2022-01-27T20:52:17Z,2023-04-03,2489,24,Kathy Mccarthy,1,Public Sector,2,Mid-Market,TRUE,TRUE
c19e573f-17ab-4cef-9144-c2f01036f4cb,,2022-01-19T21:14:57Z,2022-05-16,782,7,Michael Todd,7,Construction,2,Mid-Market,FALSE,TRUE
690dd8df-266d-4f42-889b-fb5d2c5e2750,,2022-03-09T20:49:49Z,2022-06-07,2531,1,Gerald Jones,13,Natural Resources and Mining,2,Mid-Market,FALSE,TRUE
7efb8b36-5510-4078-a479-1416d173361e,,2022-08-04T13:09:52Z,2022-07-14,223,8,Ashley Jimenez,8,"Trade, Transportation, and Utilities",1,SMB,TRUE,TRUE
0943e871-b5f6-4ceb-8efe-420afdb6011a,,2022-07-14T18:18:14Z,2022-12-20,1270,24,Kathy Mccarthy,9,Business Services,2,Mid-Market,FALSE,TRUE
d6d25dcc-df56-4acf-ae91-3909fdb25661,,2022-07-26T23:04:58Z,2022-08-17,421,24,Kathy Mccarthy,4,Other,2,Mid-Market,TRUE,TRUE
f5605797-c5e9-4adb-9ced-53496a8c71fd,,2022-07-02T14:23:30Z,2022-07-14,3980,7,Michael Todd,7,Construction,2,Mid-Market,FALSE,TRUE
3f2fe462-e479-4bd1-b7c6-662bd18dc533,,2022-06-20T17:31:29Z,2022-07-04,2494,7,Michael Todd,9,Business Services,2,Mid-Market,FALSE,TRUE
f96e8b6d-8746-409a-a106-699d82e3312a,,2022-08-19T17:26:55Z,2022-09-08,434,29,Theresa Mclean,7,Construction,2,Mid-Market,FALSE,TRUE
1180d36f-6513-47d5-af7a-00e38d87deb0,,2022-05-29T22:53:04Z,2022-07-06,686,29,Theresa Mclean,9,Business Services,2,Mid-Market,FALSE,TRUE
f6a289ea-65d4-4769-af8d-83ab8ddf2d48,,2022-04-11T19:50:57Z,2022-11-12,3449,29,Theresa Mclean,1,Public Sector,2,Mid-Market,TRUE,TRUE
40fc7380-3413-4e8b-9183-c0e39a62064f,,2022-09-25T17:59:36Z,2022-11-02,2538,29,Theresa Mclean,7,Construction,2,Mid-Market,TRUE,TRUE
4ad45e01-3d46-4b11-9ebd-c33ef7c53b78,,2022-08-05T18:43:08Z,2022-09-16,2231,29,Theresa Mclean,1,Public Sector,2,Mid-Market,FALSE,TRUE
9c944dfd-e050-4a5d-abdc-9aa5f81f943d,,2022-08-22T18:29:42Z,2022-11-03,1784,29,Theresa Mclean,7,Construction,2,Mid-Market,TRUE,TRUE
a08e9097-420d-4bae-aa2d-47144c5eaeee,,2022-07-16T22:51:10Z,2022-10-29,2535,29,Theresa Mclean,4,Other,2,Mid-Market,FALSE,TRUE
5bc82f13-55ca-4ff3-93c5-1b53c99ff92b,,2022-10-18T16:39:12Z,2022-10-24,550,29,Theresa Mclean,13,Natural Resources and Mining,2,Mid-Market,TRUE,TRUE
187ac41f-854b-4d8e-9206-c255fd042402,,2022-10-31T14:24:22Z,2022-12-23,1307,29,Theresa Mclean,1,Public Sector,2,Mid-Market,TRUE,TRUE
950375e6-b725-4c11-9f27-29cba7d546fa,,2022-06-17T18:13:26Z,2022-08-30,3922,29,Theresa Mclean,7,Construction,2,Mid-Market,FALSE,TRUE
f79bb484-3ab7-46bf-8588-a0cece61c68e,,2022-10-29T22:44:23Z,2023-01-17,1563,29,Theresa Mclean,4,Other,2,Mid-Market,FALSE,TRUE
559f2030-aca4-44fa-a8ba-15498c1f6a40,,2022-05-19T22:27:56Z,2022-10-03,635,29,Theresa Mclean,9,Business Services,2,Mid-Market,FALSE,TRUE
